2026-04-04 10:35:34,779 | WARNING | (trapped) error reading bcrypt version
Traceback (most recent call last):
  File "C:\Users\arjk2\miniconda3\Lib\site-packages\passlib\handlers\bcrypt.py", line 620, in _load_backend_mixin
    version = _bcrypt.__about__.__version__
              ^^^^^^^^^^^^^^^^^
AttributeError: module 'bcrypt' has no attribute '__about__'
2026-04-04 10:36:02,201 | INFO | Starting Agent Marketplace API...
2026-04-04 10:37:31,803 | INFO | AUTH_FAILED | {"username": "admin1"}
2026-04-04 10:37:44,108 | INFO | AUTH_FAILED | {"username": "admin1"}
2026-04-04 10:38:09,060 | INFO | AUTH_SUCCESS | {"username": "admin"}
2026-04-04 10:38:09,077 | INFO | AGENTS_FETCHED | {"count": 3}
2026-04-04 10:38:09,085 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:38:09,093 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 5}
2026-04-04 10:38:26,527 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 6}
2026-04-04 10:38:37,162 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 7}
2026-04-04 10:41:15,130 | INFO | AGENTS_FETCHED | {"count": 3}
2026-04-04 10:41:15,131 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:41:15,135 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 10}
2026-04-04 10:41:19,827 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 11}
2026-04-04 10:41:19,831 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:41:24,823 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 13}
2026-04-04 10:41:24,826 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:41:29,823 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 15}
2026-04-04 10:41:29,828 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:41:34,819 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 17}
2026-04-04 10:41:34,822 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:41:39,827 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 19}
2026-04-04 10:41:39,831 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:41:44,831 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 21}
2026-04-04 10:41:44,837 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:41:49,827 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 23}
2026-04-04 10:41:49,834 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:41:54,829 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 25}
2026-04-04 10:41:54,837 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:41:59,818 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 27}
2026-04-04 10:41:59,820 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:42:04,822 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 29}
2026-04-04 10:42:04,828 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:42:09,827 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 31}
2026-04-04 10:42:09,830 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:42:14,819 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 33}
2026-04-04 10:42:14,824 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:42:19,819 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 35}
2026-04-04 10:42:19,826 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:42:24,828 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 37}
2026-04-04 10:42:24,836 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:42:29,832 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 39}
2026-04-04 10:42:29,839 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:42:34,818 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 41}
2026-04-04 10:42:34,824 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:42:39,823 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 43}
2026-04-04 10:42:39,829 | INFO | HISTORY_FETCHED | {"limit": 20}
2026-04-04 10:42:44,823 | INFO | LOGS_FETCHED | {"limit": 100, "event_type": null, "count": 45}
2026-04-04 10:42:44,828 | INFO | HISTORY_FETCHED | {"limit": 20}
